,title,author,day,genre,story,score,platform
0,참교육,채용택 / 한가람,월,"스토리, 액션",무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다! 부활남 채용택 작가 신석기녀 한가람 작가의 신작!,9.776,네이버 웹툰
1,신의 탑,SIU,월,"스토리, 판타지",자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년 그리고 그런 소년을 시험하는 탑,9.499,네이버 웹툰
2,뷰티풀 군바리,설이 / 윤성원,월,"스토리, 드라마",여자도 군대에 간다면? 본격 여자도 군대 가는 만화!,9.66,네이버 웹툰
3,윈드브레이커,조용석,월,"스토리, 스포츠",혼자서 자전거를 즐겨타던 모범생 조자현. 원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데... 자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,8.795,네이버 웹툰
4,팔이피플,매미 / 희세,월,"스토리, 드라마","마스크걸 , 위대한 방옥숙 매미 희세 작가의 신작! 에서 육아용품 파는 평범한 유부녀 박주연, 그녀의 고등학교 동창인 김예희는 팔로워 70만의 셀럽으로 엄청난 부와 명성을 누리는 중이다. 박주연은 김예희를 미워하는 동시에 집착하고 있는데, 과연 그녀는 김예희의 과거를 폭로하고 셀럽으로 올라설 수 있을까?",9.88,네이버 웹툰
5,소녀의 세계,모랑지,월,"스토리, 드라마",완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나 여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물,9.951,네이버 웹툰
6,장씨세가 호위무사,조형근 / 김인호,월,"스토리, 액션",당신이 부른 것이오. 나란 사람을... 은둔고수 광휘. 호위무사 되다. 웹소설 원작 웰메이드 무협 시대극!,9.892,네이버 웹툰
7,백수세끼,치즈,월,"스토리, 드라마",백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니? 음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!,9.767,네이버 웹툰
8,파이게임,배진수,월,"스토리, 스릴러","시간이 흐르면 돈이 쌓인다. 피가 흐르면 시간이 쌓인다. 과연 최후에 남을 상금과 승자는 누가 될 것인가? 짜릿한 현실감과 팽팽한 긴장감, 사회에 대한 냉철한 주제의식까지 돋보이는 머니게임 의 후속편!",8.26,네이버 웹툰
9,앵무살수,김성진,월,"스토리, 판타지",평범한 뱃사공으로 살고 있는 노소하. 하지만 그의 정체는 전설적인 구파검법의 후계자다. 이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.,9.973,네이버 웹툰
10,삼매경,이원식 / 꿀찬,월,"스토리, 액션",학력도 재력도 변변찮은 그에게 초능력이 생겼다. 하지만 남들만큼만 사는 게 꿈이었던 그가 더는 남들처럼은 살 수 없게 돼버리는데...,8.798,네이버 웹툰
11,만렙돌파,"성불예정,홍실 / 미노",월,"스토리, 판타지","알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉. 그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",9.795,네이버 웹툰
12,잔불의 기사,환댕,월,"스토리, 판타지","유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다. 천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만, 동생의 복수를 위해 강함 을 연기하기로 결심했다. 약해빠진 나는 복수에 성공할 수 있을까.",9.931,네이버 웹툰
13,요리GO,HO9,월,"스토리, 드라마",요리고등학교 졸업 후 산에서 수련을 마친 한별. 특급 호텔 레스토랑에 인턴으로 취업하게 되지만 엄하기로 소문난 호텔 주방에서 다양한 사건들에 휘말리게 되는데... 과연 요리천재 한별은 이 어려움을 어떻게 헤쳐나갈 수 있을까?,9.962,네이버 웹툰
14,유일무이 로맨스,두부,월,"스토리, 로맨스",평범한 취준생 공유일의 일상에 인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다! 사심가득 탑스타,9.96,네이버 웹툰
15,더블클릭,"김장훈,박수봉 / 박수봉",월,"스토리, 액션",악명 높은 난이도를 가진 게임의 세계 랭킹 1위였던 지호. 서비스 종료된 줄만 알았던 그 게임이 새롭게 돌아왔다! 지호는 다시 한번 랭킹 1위를 꿈꾸며 게임 동아리에 입부한다. 오랜만에 게임을 해도 살아있는 감각. 하지만 게임이 새롭게 변하면서 예상치 못한 약점이 생긴다. 강한 상대를 마주할수록 열정이 끓어오르는 주인공의 프로게이머 도전기!,9.905,네이버 웹툰
16,약초마을 연쇄살초사건,박지독,월,"스토리, 스릴러",평화롭던 약초마을에 연쇄 약초 살해 사건이 벌어진다. 살해당한 약초들의 공통점은 모두 뿌리가 잘려있다는 것. 이 수상한 사건의 범인은 약초일까? 아니면 소문대로 귀신의 소행일까? 이 사건을 취재하던 마기자에게 의문의 편지 한 통이 도착하는데...,9.77,네이버 웹툰
17,칼가는 소녀,오리,월,"에피소드, 드라마",치사율 100 의 인싸 희귀병 소녀 사랑 누구보다 차분하고 두려움 없는 같은 반 소녀 은조 두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다. 네이버웹툰 최강자전 18년 대표작.,9.973,네이버 웹툰
18,히어로메이커,빤쓰,월,"옴니버스, 판타지",왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다,9.948,네이버 웹툰
19,꼬리잡기,바쉬,월,"스토리, 스릴러","건물붕괴 사고로 매몰된 9명의 대학생. 2주 뒤, 3명은 사망하고 1명은 의식불명인 상태로 발견된다. 가까스로 구조된 생존자 5명은 그곳에서 있었던 일을 숨기려 하는데... 생존자인 척 숨어있던 살인자에 대한 정황이 드러나기 시작한다. 수사팀은 이 밀실살인 사건의 처음과 끝을 파헤치게 된다.",9.937,네이버 웹툰
20,결혼생활 그림일기,은꼼지,월,"옴니버스, 일상",조용할 날 없는 우당탕탕 두 짐승의 결혼생활 이야기!,9.979,네이버 웹툰
21,물어보는 사이,성은,월,"스토리, 로맨스","뱀파이어에게 물리면 건강해진다?! 두통으로 의도치 않게 비호감 연예인이 된 이채이. 우연히 톱스타인 서이준이 뱀파이어이고, 그에게 물리면 한동안 건강해진다는 걸 알게 된다. 물어달라 부탁하는 채이에게 이준은 계약 연애를 제안하는데...",9.959,네이버 웹툰
22,오늘의 순정망화,손하기,"월, 화, 목","에피소드, 개그",그마고 초엘리트집단 삼국시대 앞에 나타난 전학생 가야! 가야의 마음을 얻는 건 누구?,9.981,네이버 웹툰
23,영앤리치가 아니야!,최삡뺩,월,"스토리, 개그","공대생 너무만화 최삡ㅤㅃㅑㅂ 작가의 개그로맨스 신작! 모든 게 완벽한 퍼렁식품 의 아들 서민준. 어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다. 민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고? 사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!",9.94,네이버 웹툰
24,리턴 투 플레이어,"인덱스,엄키 / 세혼",월,"스토리, 판타지","어느 날, 게임이 되어버린 세상. 갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어 퀘스트를 달성해야 한다! 인류의 종말에서 회귀한 2회차 플레이어, 김세한. 그는 과연 세상을 이렇게 만든 시스템 을 쳐부술 수 있을까!",9.953,네이버 웹툰
25,바퀴,나우원 / 오른손,월,"스토리, 스릴러","내 몸이 변하는 순간, 온 세상 사람들의 표적이 되었다. 신체가 점점 바퀴화 되어가는 한 남자의 생존 액션 스릴러",9.75,네이버 웹툰
26,"아, 쫌 참으세요 영주님!",daybook / 새우초밥,월,"스토리, 로맨스","작고 가난한 영지 화이트 의 영주, 로즈. 영주민들과 오순도순 잘 먹고 잘살고 싶었는데, 갑자기 이종족 이주민이 늘고 자꾸 사건에 휘말린다?! 막강 능력 영주님 로즈 와 그녀를 영지에 몰래몰래 숨겨 놓고 보호하고픈 스승, 대마법사 이그드라실 의 유쾌 발랄 로맨스 판타지!",9.962,네이버 웹툰
27,평범한 8반,영파카,월,"스토리, 드라마",안 평범한 아이들이 모인 평범한 8반 고품격 웰메이드 병맛을 느껴보세요,9.883,네이버 웹툰
28,수영만화일기,해오,"월, 목","에피소드, 일상","백수 겸 만화가지망생 해오, 저질체력에서 벗어나기 위해 수영에 도전! 작심삼일이리라는 예상과는 다르게 어느새 수영에 익숙해진다. 이게 대체 어떻게 된 일이야? 나 수영을 사랑하게 된 걸까? 그렇게 수영을 익혀가면서 점차 몸도 마음도 성장해나가는데 . 불확실한 미래를 안고 살아가지만, 해오는 오늘도 수영한다.",9.924,네이버 웹툰
29,아는 여자애,허니비,월,"스토리, 로맨스","어느날 갑자기 고등학생으로 돌아온 하영. 다시 한 번 기회가 주어진다면 첫사랑을 이룰 수 있을까? 내게는 운명, 그애에겐 아는 여자애",9.956,네이버 웹툰
30,장난감,배사과,월,"스토리, 드라마","매일같이 술에 절어 사는 주인공 김상재 는 일용직 노동자로 자신의 꼬인 인생에 불만이 많다. 그리고 세상에 대한 분풀이를 자신의 아이를 학대하는 방식으로 풀어낸다. 그런 그가 우연한 사건으로 부잣집 아들 박해오 라는 꼬마와 몸이 바뀌게 되고, 지금까지와는 정반대의 인생을 살아갈 꿈에 부푼다. 하지만 해오의 집에는 또 다른 비밀이 숨겨져 있다.",9.815,네이버 웹툰
31,황제와의 하룻밤,"예영, 차승현(車昇炫) / INUS",월,"스토리, 로맨스","술김에 하룻밤을 보낸 남자의 정체가... 무려 황제라고? 겉은 아름다운 남작 영애, 속은 풍파에 쩌든 욕쟁이 할머니 페넬로페 . 염병, 남자가 거기서 다 거기지. 그런 그녀에게 열렬히 구애하는 직진순정파 황제 바트 ! 나는 네가 필요해. 직진 황제와 독특한 영애의 본격 발랄 로맨스 판타지!",9.953,네이버 웹툰
32,꿈의 기업,문지현,월,"스토리, 스릴러",문명을 지배하는 거대기업과 거대기업을 움직이는 인공지능. 그 인공지능이 꿈을 꾸기 시작했다.,9.959,네이버 웹툰
33,순정말고 순종,슈안,월,"스토리, 로맨스",하루에 무려 쓰리잡. 스물 다섯 지언의 일과 끝에 남는 건 갑질에 시달린 스트레스와 돼지우리같은 집구석 뿐이다. 그러다 어느날 얻게 된 인형 한 개. 이것만 있으면 대한민국의 탑 배우 남도윤을 가정부로 부려먹을 수있다...?! 2017 최강자전 대상 수상작 늑대와 빨간모자 슈안 작가의 차기작!,9.983,네이버 웹툰
34,ㅋㄷㅋㄷ만화,기맹기,월,"에피소드, 일상",본 컨텐츠는 질병관리청의 브랜드 웹툰으로 기맹기 작가가 전하는 에이즈 예방 캠페인입니다.,9.816,네이버 웹툰
35,하루의 하루,김이랑,월,"스토리, 드라마","오하루는 다른 사람의 마음을 읽을 수 있는 초능력자다. 얼마 전, 저주 받은 능력 때문에 첫사랑도 허무하게 깨져버리고 건조한 일상을 보내고 있던 하루에게 최근 신경쓰이는 사람이 생겼다. 그 사람은 바로, 같은 과 동기인 도하루. 그녀의 마음은 도무지 보이지 않는다. 이건 혹시.. 운명..?",9.965,네이버 웹툰
36,최후의 금빛아이,알깨 / 새몽,월,"스토리, 판타지","언니의 생일날, 이 세계를 지배하는 신에 의해 모든 것을 잃은 소녀 록시. 자신이 신들의 먹이에 불과하다는 충격적인 진실을 알게 된다. 록시는 심장만 있으면 언니를 되살릴 수 있다는 말을 믿고 험난한 여행을 떠난다. 그러나 곧 그녀를 뒤쫓는 자들과 감당할 수 없는 적들이 나타나는데... 록시는 앞을 막아서는 그들을 물리치고 과연 언니를 되살릴 수 있을까?",9.944,네이버 웹툰
37,와이키키 뱀파이어,요니요니,월,"스토리, 드라마",고졸 검정고시를 준비 중인 야식 배달원 뱀파이어 김군. 어느 날 그는 잘못된 주소로 배달을 갔다가 그곳에서 뱀파이어로 추정되는 한 여자와 마주치게 되는데,9.969,네이버 웹툰
38,야생천사 보호구역,루시드,월,"스토리, 로맨스","천사 가브리엘은 악마들의 장난으로 동료천사 라파엘, 우리엘과 함께 인간 세상의 고양이로 변해버린다. 아니 이게 어찌된 일인가! 낯선 인간 세상에서 고양이의 몸이라니! 고양이가 되어버린 꽃미남 천사들과 그들의 집사가 된 소녀 은호의 세상에서 가장 무해한 로맨스! 심장에는 유해함 주의",9.98,네이버 웹툰
39,모스크바의 여명,황장미 / 이샨오,월,"스토리, 드라마","21세의 피아니스트 이시윤. 사고로 인해 피아노를 더 이상 칠 수 없게 된 삶을 비관하다 죽음을 택했지만, 알아들을 수 없는 외국어로 얘기하는 갑부 집안에서 소녀 타티아나 로 눈을 뜬다. 신이 주신 기회인 걸까? 아니면 저주인 걸까? 성별이 바뀐 게 뭐 대수냐! 손만 멀쩡하다면 다시 피아노를 칠 수 있어! 어차피 이렇게 된 거 타티아나 로서 못다 한 꿈을 이뤄보자!",9.94,네이버 웹툰
40,착한건 돈이된다,유성연,월,"스토리, 드라마","인기도 돈도 없는 삼류 스트리머 기찬수. 어느 날, 전 국민적 관심을 받던 대낮 유괴사건 이 해결된다. 이를 해결한 얼굴 없는 의인 은 속 뒷모습만 남긴 채 사라졌고, 사람들의 궁금증은 점점 커져만 가는데... 사람들이 삼류 스트리머 기찬수의 영상 속 모습과 의인의 뒷모습이 유사함을 알게 되면서, 기찬수는 하루아침에 전 국민적 영웅이 된다. 기찬수의 영웅 행세는 과연 어디까지 갈 것인가.",9.611,네이버 웹툰
41,사랑의 헌옷수거함,고잉,월,"스토리, 로맨스","짝사랑은 이제 그만! 고잉고등학교에서 가장 핫한 소문, 헌옷수거함에 돈을 넣고 좋아하는 사람의 이름을 외치면 상대방의 마음을 알려준다는데..! 연애 대신 성적과 돈에만 관심 있는 송아람은 그런 소문에 휘둘리지 않는다. 그런 아람의 일상에 학교 인기남 정진우가 불쑥 들어온다. 어디로 튈지 모르는 이 자식을 어떻게 해야 좋을까?",9.957,네이버 웹툰
42,왕따협상,아이아리,월,"스토리, 드라마",일진의 괴롭힘과 어머니의 집착으로 하루하루 지옥 같은 나날들. 왕따 주민성은 최악의 인생에서 벗어나기 위한 협상을 시작한다.,9.887,네이버 웹툰
